Prompt Number,File A,File B,Cosine Similarity
1,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.872139
2,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.909113
3,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.874064
4,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.887562
5,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.889970
6,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.898081
7,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.869966
8,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.879094
9,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.861022
10,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.855857
11,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.861843
12,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.865066
13,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.871145
14,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.900884
15,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.908353
16,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.868753
17,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.898573
18,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.910723
19,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.834716
20,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.884750
21,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.869576
22,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.885908
23,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.836496
24,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.867064
25,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.826678
26,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.877617
27,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.889924
28,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.851717
29,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.903032
30,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.884528
31,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.870131
32,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.891623
33,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.880999
34,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.876623
35,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.893311
36,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.884840
37,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.812120
38,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.871679
39,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.872797
40,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.879379
41,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.864603
42,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.862451
43,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.859242
44,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.909724
45,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.893176
46,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.866555
47,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.862041
48,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.905872
49,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.881566
50,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.865118
51,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.809143
52,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.882221
53,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.812339
54,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.920730
55,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.887550
56,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.913530
57,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.916077
58,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.910383
59,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.896404
60,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.830538
61,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.782400
62,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.834552
63,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.904481
64,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.885940
65,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.910662
66,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.904717
67,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.817662
68,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.884583
69,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.832665
70,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.885069
71,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.881295
72,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.867131
73,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.916279
74,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.898166
75,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.871039
76,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.874566
77,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.871389
78,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.830617
79,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.899187
80,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.922764
81,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.915256
82,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.890578
83,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.856122
84,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.913665
85,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.867559
86,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.888864
87,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.867726
88,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.953721
89,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.836701
90,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.883463
91,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.863535
92,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.881094
93,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.898179
94,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.879568
95,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.843928
96,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.833633
97,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.867923
98,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.843775
99,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.873710
100,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.867465
101,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.871667
102,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.872046
103,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.873706
104,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.892458
105,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.873135
