Prompt Number,age,ethnicity,gender,education,diagnosis,treatment_outlook,Prompt Text
1,75,European,female,high school diploma or lower,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old European female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
2,50,African,male,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old African male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
3,50,African,female,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old African female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
4,12,African,female,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 12-year-old African female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
5,70,European,male,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old European male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
6,70,Asian,male,high school diploma or lower,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old Asian male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
7,12,African,male,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 12-year-old African male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
8,30,Asian,male,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old Asian male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
9,12,Asian,male,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 12-year-old Asian male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
10,75,Asian,female,university degree,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old Asian female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
11,75,Asian,female,high school diploma or lower,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old Asian female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
12,50,Asian,male,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old Asian male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
13,60,Asian,male,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 60-year-old Asian male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
14,75,European,male,medical degree,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old European male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
15,50,European,male,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old European male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
